SIMULATION,6.1.0.0.0,Sensitivity: 1,Landscape seed: -1158562568,Starting Location[1.1.0.0.0.1.0.1.0.1.0.0.1.1.1],K Value:6
GENERATION,0
STRATEGY_ROW,Walk,Walk,Look,Look,Walk,Walk,Look,Look,Walk,Walk,Look,Look,Walk,Walk,Walk,Look,Look,Look,Look,Walk,Walk,Look,Look,Walk,Look,Look,Walk,Look,Look,Look,Walk,Walk,Walk,Look,Walk,Walk,Walk,Look,Walk,Look,Look,Look,Walk,Look,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Look,Walk,Walk,Walk,Walk,Look,Look,Look,Look,Look,Look,Look,Walk,Look,Walk,Look,Look,Walk,Look,Walk,Walk,Walk,Walk,Look,Walk,Walk,Look,Walk,Walk,Look,Walk,Look,Look,Walk,Walk,Walk,Look,Walk,Walk,Walk,Walk,Walk,Look,Look,Look,Walk,Look,Look,Look,Look,Look,Look,Look,Walk,Walk,Look,Look,Walk,Look,Look,Look,Walk,Walk,Walk,Walk,Look,Look,Look,Walk,Look,Walk,Walk,Walk,Walk,Walk,Look,Look,Walk,Look,Walk,Look,Walk,Walk,Look,Walk,Walk,Look,Look,Walk,Walk,Walk,Look,Walk,Walk,Look,Walk,Look,Look,Walk,Walk,Look,Walk,Look,Walk,Look,Look,Look,Walk,Look,Look,Walk,Walk,Look,Walk,Look,Look,Walk,Look,Walk,Walk,Walk,Look,Look,Look,Walk,Walk,Look,Walk,Look,Look,Look,Look,Walk,Look,Look,Look,Look,Look,Walk,Look,Look,Look,Look,Walk,Look,Look,Walk
FITNESS_ROW,0.011015562790900896,0.007339794283357091,0.007339794283357091,0.007339794283357091,0.012194478978456604,0.009474580631303315,0.009474580631303315,0.009474580631303315,0.014976642018819441,0.013398729484188994,0.013398729484188994,0.013398729484188994,0.020106041800759523,0.01009263295717097,0.010093916881767284,0.010093916881767284,0.010093916881767284,0.010093916881767284,0.010093916881767284,0.022003848468530925,0.013659073767710663,0.013659073767710663,0.013659073767710663,0.021382722561744238,0.021382722561744238,0.021382722561744238,0.028689209483488503,0.028689209483488503,0.028689209483488503,0.028689209483488503,0.03941815289583494,0.020301984416336922,0.02307535863024897,0.02307535863024897,0.030038877496453936,0.013370421725088273,0.016160948573565828,0.016160948573565828,0.01931247115992581,0.01931247115992581,0.01931247115992581,0.01931247115992581,0.03559062114826308,0.03559062114826308,0.04008737166442259,0.014143463766523439,0.015224940818180925,0.008804690450818544,0.00955962163716343,0.006181012333519236,0.012046466615046145,0.007082942131497616,0.005237931067537675,0.005237931067537675,0.007954254853211553,0.005829933066502694,0.005388783169111737,0.004712057253906343,0.004712057253906343,0.004712057253906343,0.004712057253906343,0.004712057253906343,0.004712057253906343,0.004712057253906343,0.004712057253906343,0.01775849418018835,0.01775849418018835,0.022584045773677487,0.022584045773677487,0.022584045773677487,0.02851480467079877,0.02851480467079877,0.03267734608360957,0.013716017070938781,0.0075440962550975136,0.005066512728072399,0.005066512728072399,0.009360694415858586,0.00796990297848411,0.00796990297848411,0.01112743562231246,0.00926964482077747,0.00926964482077747,0.012112083896729835,0.012112083896729835,0.012112083896729835,0.017663006388417588,0.010804865990783643,0.008094032960454436,0.008094032960454436,0.010985667972849267,0.010060802976699274,0.0073812882751515384,0.0070259368645050726,0.009511782158445878,0.009511782158445878,0.009511782158445878,0.009511782158445878,0.019514649336602546,0.019514649336602546,0.019514649336602546,0.019514649336602546,0.019514649336602546,0.019514649336602546,0.019514649336602546,0.019514649336602546,0.03615082404086058,0.009042696635886662,0.009042696635886662,0.009042696635886662,0.01957297852582324,0.01957297852582324,0.01957297852582324,0.01957297852582324,0.03179548547147528,0.01109421793341885,0.00956515573690695,0.0053143238269238524,0.0053143238269238524,0.0053143238269238524,0.0053143238269238524,0.015228772084320235,0.015228772084320235,0.0189300932575067,0.012729549770496847,0.010321896760161571,0.006978361917769652,0.008667728100971767,0.008667728100971767,0.008667728100971767,0.018610329439350266,0.018610329439350266,0.02257124287014507,0.02257124287014507,0.025657108356219996,0.014359526073958106,0.014359526073958106,0.019482662305615003,0.009163316078917232,0.009163316078917232,0.009163316078917232,0.01572758698148996,0.01582073920563448,0.010363022355836115,0.010363022355836115,0.015437982535511414,0.01357083091376373,0.01357083091376373,0.016531581610554014,0.016531581610554014,0.016531581610554014,0.028043894237925665,0.017164188076964362,0.017164188076964362,0.019955446308358472,0.019955446308358472,0.022069181582059786,0.022069181582059786,0.022069181582059786,0.022069181582059786,0.0342142742029759,0.0342142742029759,0.0342142742029759,0.0406392386789265,0.02306698550707556,0.02306698550707556,0.02918703322467764,0.02918703322467764,0.02918703322467764,0.03630608061871039,0.03630608061871039,0.04120520498555392,0.021534768317674154,0.019260013032163775,0.019260013032163775,0.019260013032163775,0.019260013032163775,0.0302189389476119,0.011781050871949455,0.011781050871949455,0.01529889885004089,0.01529889885004089,0.01529889885004089,0.01529889885004089,0.01529889885004089,0.028433147617081475,0.028433147617081475,0.028433147617081475,0.028433147617081475,0.028433147617081475,0.028433147617081475,0.05041995381392225,0.05041995381392225,0.05041995381392225,0.05041995381392225,0.05041995381392225,0.06401653626470077,0.06401653626470077,0.06401653626470077,0.07009400006749822
GENERATION,10
STRATEGY_ROW,Walk,Walk,Look,Look,Walk,Walk,Look,Look,Walk,Walk,Look,Look,Walk,Walk,Walk,Look,Look,Look,Look,Look,Look,Look,Look,Look,Walk,Look,Walk,Walk,Look,Look,Walk,Walk,Walk,Look,Walk,Walk,Walk,Look,Walk,Look,Look,Look,Walk,Look,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Look,Walk,Look,Walk,Walk,Walk,Walk,Look,Look,Look,Look,Look,Look,Look,Walk,Look,Walk,Look,Look,Look,Walk,Walk,Walk,Walk,Walk,Look,Walk,Walk,Look,Walk,Walk,Look,Walk,Look,Look,Walk,Walk,Walk,Look,Walk,Walk,Walk,Walk,Walk,Look,Look,Look,Walk,Look,Look,Look,Look,Look,Look,Look,Walk,Walk,Look,Look,Walk,Look,Look,Look,Walk,Walk,Walk,Walk,Look,Look,Look,Walk,Look,Walk,Walk,Walk,Walk,Walk,Look,Look,Walk,Look,Walk,Look,Walk,Walk,Look,Walk,Walk,Look,Look,Walk,Walk,Walk,Look,Walk,Walk,Look,Walk,Look,Look,Look,Walk,Look,Walk,Walk,Look,Look,Look,Look,Walk,Look,Look,Walk,Walk,Look,Walk,Look,Look,Walk,Look,Walk,Walk,Walk,Look,Look,Look,Walk,Look,Look,Walk,Look,Look,Look,Look,Walk,Look,Look,Look,Look,Look,Walk,Look,Look,Look,Look,Walk,Look,Look,Walk
FITNESS_ROW,0.011019094441770794,0.009288146131379633,0.009288146131379633,0.009288146131379633,0.01659656563157545,0.011813578248322971,0.011813578248322971,0.011813578248322971,0.021810342603281116,0.012857650322907229,0.012857650322907229,0.012857650322907229,0.021696758828294388,0.010792832490517865,0.010327829721620418,0.010327829721620418,0.010327829721620418,0.010327829721620418,0.010327829721620418,0.010327829721620418,0.010327829721620418,0.010327829721620418,0.010327829721620418,0.010327829721620418,0.034575233126673016,0.034575233126673016,0.04095412084683054,0.017037821815644307,0.017037821815644307,0.017037821815644307,0.033375354295781444,0.013669169230709044,0.01400276173983799,0.01400276173983799,0.017370115314934268,0.009800028924800497,0.009784373903019507,0.009784373903019507,0.012859495945156238,0.012859495945156238,0.012859495945156238,0.012859495945156238,0.02102160862375307,0.02102160862375307,0.024276931720410774,0.010613484719810709,0.007602400518688063,0.005881718469309301,0.007777285222924745,0.007881482797855886,0.006553453863333735,0.006553453863333735,0.009603018131465852,0.009603018131465852,0.015790702227141958,0.009659312932385195,0.010728479697126586,0.006984042323511622,0.006984042323511622,0.006984042323511622,0.006984042323511622,0.006984042323511622,0.006984042323511622,0.006984042323511622,0.006984042323511622,0.022731152655722075,0.022731152655722075,0.02633640122814129,0.02633640122814129,0.02633640122814129,0.02633640122814129,0.03646048280725061,0.016364234248874437,0.011352653337908844,0.009475478042363265,0.007920608372664397,0.007920608372664397,0.011731128393496732,0.010380769680540063,0.010380769680540063,0.0128011847868361,0.007793642048645624,0.007793642048645624,0.01060776620631251,0.01060776620631251,0.01060776620631251,0.017844523621713182,0.01141892623249973,0.010470683184380247,0.010470683184380247,0.015184580454928199,0.008367799507074903,0.006078891271421485,0.006644593056225902,0.007173967987015032,0.007173967987015032,0.007173967987015032,0.007173967987015032,0.015541542393496904,0.015541542393496904,0.015541542393496904,0.015541542393496904,0.015541542393496904,0.015541542393496904,0.015541542393496904,0.015541542393496904,0.040631360498155786,0.017312959343029007,0.017312959343029007,0.017312959343029007,0.02902515055222802,0.02902515055222802,0.02902515055222802,0.02902515055222802,0.039010856076093434,0.015204498940982936,0.014022641220673385,0.009254487681762789,0.009254487681762789,0.009254487681762789,0.009254487681762789,0.01972998944512551,0.01972998944512551,0.022887080899385202,0.016476872608471266,0.010611980470454219,0.008720200188695924,0.00851975036119705,0.00851975036119705,0.00851975036119705,0.016985119121294058,0.016985119121294058,0.020738168447106672,0.020738168447106672,0.02276689413372386,0.009547633492985784,0.009547633492985784,0.013268203483352795,0.007650289841905723,0.007650289841905723,0.007650289841905723,0.014426607631958086,0.009097733070842606,0.007867445453266026,0.007867445453266026,0.011181134044456996,0.007191326384701015,0.007191326384701015,0.010079715899327608,0.010079715899327608,0.010079715899327608,0.010079715899327608,0.021426565854190876,0.021426565854190876,0.02494749284403549,0.012180375913971912,0.012180375913971912,0.012180375913971912,0.012180375913971912,0.012180375913971912,0.02644172310692207,0.02644172310692207,0.02644172310692207,0.035923314762406136,0.014276322706465202,0.014276322706465202,0.017745481270163958,0.017745481270163958,0.017745481270163958,0.024279296484504376,0.024279296484504376,0.027998094318163753,0.015927187434134057,0.008812239881540283,0.008812239881540283,0.008812239881540283,0.008812239881540283,0.0204943974028455,0.0204943974028455,0.0204943974028455,0.027290039133767596,0.027290039133767596,0.027290039133767596,0.027290039133767596,0.027290039133767596,0.04184813404570995,0.04184813404570995,0.04184813404570995,0.04184813404570995,0.04184813404570995,0.04184813404570995,0.07318186512101603,0.07318186512101603,0.07318186512101603,0.07318186512101603,0.07318186512101603,0.09203169269790637,0.09203169269790637,0.09203169269790637,0.09400488060047357
GENERATION,20
STRATEGY_ROW,Walk,Walk,Look,Look,Walk,Look,Walk,Look,Walk,Walk,Look,Look,Walk,Walk,Walk,Look,Look,Look,Look,Look,Walk,Walk,Look,Look,Look,Look,Walk,Walk,Look,Look,Look,Walk,Walk,Look,Walk,Walk,Walk,Look,Walk,Look,Look,Look,Walk,Look,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Look,Walk,Look,Walk,Walk,Walk,Walk,Look,Look,Look,Walk,Look,Look,Look,Walk,Look,Walk,Look,Look,Look,Walk,Walk,Walk,Look,Walk,Look,Walk,Look,Look,Walk,Walk,Look,Walk,Look,Look,Walk,Walk,Walk,Look,Walk,Walk,Walk,Walk,Walk,Look,Look,Walk,Walk,Look,Look,Look,Walk,Look,Look,Look,Walk,Walk,Look,Look,Walk,Look,Look,Look,Walk,Walk,Walk,Walk,Look,Look,Look,Walk,Look,Look,Walk,Walk,Walk,Walk,Look,Look,Walk,Look,Walk,Walk,Walk,Walk,Look,Walk,Walk,Look,Look,Walk,Walk,Walk,Look,Walk,Walk,Look,Walk,Look,Look,Look,Walk,Look,Walk,Look,Look,Look,Look,Look,Walk,Look,Look,Walk,Walk,Look,Walk,Look,Look,Walk,Look,Walk,Walk,Look,Look,Look,Look,Walk,Look,Look,Walk,Look,Look,Look,Look,Walk,Look,Look,Look,Look,Look,Walk,Look,Look,Look,Look,Walk,Look,Look,Walk
FITNESS_ROW,0.01114497891979172,0.007843793331532938,0.007843793331532938,0.007843793331532938,0.014193722212504345,0.014193722212504345,0.01954955906643383,0.01954955906643383,0.021326295200491355,0.008729987989803484,0.008729987989803484,0.008729987989803484,0.017316426474039606,0.013468293295810427,0.008962902781149924,0.008962902781149924,0.008962902781149924,0.008962902781149924,0.008962902781149924,0.008962902781149924,0.020846196356728516,0.011679991914860093,0.011679991914860093,0.011679991914860093,0.011679991914860093,0.011679991914860093,0.029722960881786827,0.012008845707136371,0.012008845707136371,0.012008845707136371,0.012008845707136371,0.020764114944547267,0.012403205344720029,0.012403205344720029,0.015437490814392106,0.011218081434746736,0.011849678577404328,0.011849678577404328,0.015304976354208738,0.015304976354208738,0.015304976354208738,0.015304976354208738,0.02385989133748744,0.02385989133748744,0.028064012487991598,0.011624745207703456,0.008124372959954081,0.007029309565329492,0.01182943033651261,0.008878801159876349,0.006098893253978531,0.006098893253978531,0.00980383398073632,0.00980383398073632,0.013028493678711,0.008244358472383896,0.006406573169875706,0.005702432849473441,0.005702432849473441,0.005702432849473441,0.005702432849473441,0.01201986027235218,0.01201986027235218,0.01201986027235218,0.01201986027235218,0.020490446801546786,0.020490446801546786,0.022811225143394984,0.022811225143394984,0.022811225143394984,0.022811225143394984,0.032241242656964944,0.013793622301642322,0.009185801120891113,0.009185801120891113,0.015702223998119876,0.015702223998119876,0.01860768939598563,0.01860768939598563,0.01860768939598563,0.030620986683306307,0.01481138645530855,0.01481138645530855,0.01851228379258873,0.01851228379258873,0.01851228379258873,0.02658679045513681,0.015063249539703004,0.012020014393868642,0.012020014393868642,0.016358559258020842,0.01036216077566956,0.0097049352573057,0.007727026040116699,0.010746584585541636,0.010746584585541636,0.010746584585541636,0.017503438555161573,0.011394031708053814,0.011394031708053814,0.011394031708053814,0.011394031708053814,0.022868875459514184,0.022868875459514184,0.022868875459514184,0.022868875459514184,0.032568118881191876,0.012636491829348126,0.012636491829348126,0.012636491829348126,0.023118628905909922,0.023118628905909922,0.023118628905909922,0.023118628905909922,0.03699074742445905,0.014443438927511725,0.00950468702684644,0.005419862695169038,0.005419862695169038,0.005419862695169038,0.005419862695169038,0.012317820658791329,0.012317820658791329,0.012317820658791329,0.02184390436160506,0.011536210684180552,0.007147370266164044,0.006554641200223479,0.006554641200223479,0.006554641200223479,0.013143917325111111,0.013143917325111111,0.016220674711249,0.0076680721482544215,0.006301363666064592,0.008136907380092942,0.008136907380092942,0.012292176605133244,0.006466058573397718,0.006466058573397718,0.006466058573397718,0.013402715856073832,0.010069467557819319,0.00733023984815572,0.00733023984815572,0.010305940483396414,0.008567360191910128,0.008567360191910128,0.011898376552235848,0.011898376552235848,0.011898376552235848,0.011898376552235848,0.020992628131242124,0.020992628131242124,0.025181916769901093,0.025181916769901093,0.025181916769901093,0.025181916769901093,0.025181916769901093,0.025181916769901093,0.04295361723572858,0.04295361723572858,0.04295361723572858,0.04833900861709254,0.018354103903588773,0.018354103903588773,0.02352405755378008,0.02352405755378008,0.02352405755378008,0.03187668235224715,0.03187668235224715,0.04256627373756323,0.016635662161267672,0.016635662161267672,0.016635662161267672,0.016635662161267672,0.016635662161267672,0.04083993178974359,0.04083993178974359,0.04083993178974359,0.06611030074605362,0.06611030074605362,0.06611030074605362,0.06611030074605362,0.06611030074605362,0.08655244358315628,0.08655244358315628,0.08655244358315628,0.08655244358315628,0.08655244358315628,0.08655244358315628,0.10680731408693775,0.10680731408693775,0.10680731408693775,0.10680731408693775,0.10680731408693775,0.12414084450318288,0.12414084450318288,0.12414084450318288,0.12607838330547042
GENERATION,30
STRATEGY_ROW,Walk,Walk,Walk,Look,Walk,Walk,Look,Look,Walk,Walk,Look,Look,Walk,Look,Walk,Look,Look,Look,Look,Look,Walk,Look,Look,Walk,Look,Look,Walk,Walk,Walk,Look,Walk,Look,Walk,Look,Walk,Walk,Walk,Look,Walk,Look,Look,Look,Walk,Look,Walk,Walk,Look,Walk,Look,Walk,Walk,Walk,Walk,Look,Walk,Walk,Walk,Walk,Look,Look,Look,Look,Look,Look,Look,Walk,Look,Walk,Look,Look,Walk,Walk,Walk,Walk,Walk,Walk,Look,Walk,Look,Look,Walk,Walk,Look,Walk,Look,Look,Look,Walk,Walk,Look,Walk,Walk,Look,Look,Walk,Look,Look,Look,Walk,Look,Look,Walk,Look,Look,Walk,Walk,Walk,Walk,Look,Look,Look,Look,Walk,Look,Walk,Look,Walk,Walk,Look,Look,Look,Walk,Look,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Look,Walk,Walk,Look,Walk,Look,Walk,Look,Look,Look,Walk,Walk,Look,Look,Walk,Walk,Look,Look,Look,Look,Walk,Look,Look,Walk,Look,Look,Look,Look,Look,Walk,Look,Look,Walk,Look,Look,Walk,Look,Look,Look,Look,Walk,Look,Walk,Look,Look,Walk,Look,Walk,Look,Walk,Look,Look,Look,Look,Walk,Look,Look,Look,Look,Look,Walk,Look,Walk,Look,Look,Walk,Look,Look,Walk
